data;time;flt01;f0104;f0509;f1014;f1519;f2029;f3039;f4049;f5059;f6069;f7079;fmm80
mar/05;39;357789;1502019;1906825;1661168;1770510;4580233;4222537;3775881;2624759;1566286;974817;399922
dez/04;36;362022;1498808;1916860;1669659;1778666;4493160;4203570;3785457;2606820;1564066;968668;389927
set/04;33;353809;1471322;1896146;1630512;1728490;4334098;4090265;3687172;2540679;1534957;945571;373984
jun-04;30;345750;1428962;1830789;1597905;1678372;4189865;3998248;3616771;2477283;1505726;921020;359155
mar/04;27;335267;1384703;1762652;1556666;1614983;4017351;3880088;3502757;2388318;1465658;894491;344065
dez/03;24;330398;1360696;1704558;1527668;1568104;3871296;3786830;3426261;2335629;1438774;874742;331374
set/03;21;316632;1323308;1635064;1485245;1512380;3693706;3652237;3300075;2256266;1396676;848315;317037
jun-03;18;293748;1292156;1573625;1449145;1459293;3509682;3529593;3187476;2177384;1347439;815938;298938
mar/03;15;269131;1229948;1501978;1392011;1380420;3277994;3368374;3041726;2080638;1301649;784731;281138
dez/02;12;261997;1190556;1447611;1361182;1334322;3125234;3264774;2947165;2013705;1264344;761421;267203
set/02;9;257397;1167226;1408289;1336776;1302624;3004468;3171817;2866719;1954462;1231822;735372;255241
jun-02;6;247286;1131975;1353562;1298253;1256223;2862282;3054068;2767157;1892217;1200893;712567;242571
mar/02;3;237301;1096230;1301031;1260694;1210638;2719473;2940240;2670983;1831358;1173240;692198;232473
