"dataa","flt01","f0104","f0509","f1014","f1519","f2029","f3039","f4049","f5059","f6069","f7079","fmm80","f1019","f2059","f6079"
"2002-01-01",443.086278038036,224.802697757839,65.0375921925278,32.3164892630596,29.7878507247027,32.3161573668738,36.3010656958737,50.8379251576663,95.7444793621089,190.627299771145,347.459822551829,544.732779086546,31.0242310929128,46.4975453621402,246.721514201323
"2002-02-01",409.642292060931,208.264784768747,59.8807579316753,32.279150742825,27.4598376059023,31.455206667148,35.0612694202133,49.598907655971,92.9841710331206,182.522562220112,328.01161030949,520.14647110409,29.8162456335281,45.1771111928122,234.559561409244
"2002-03-01",503.459187788912,253.973411991798,73.8769832795609,35.2786785350057,28.2457653084129,30.1061579329319,34.4096358828354,47.2955359127312,89.5104291667937,173.214561585563,315.592573117702,495.073305537822,31.6845153364556,43.5154547267698,224.138837797039
"2002-04-01",714.72678589822,307.63854860536,81.538694558152,35.5303917296791,28.1640736668712,28.5625364564468,32.6510236636994,45.9076019292566,85.5300723325941,169.03191951167,305.900001177655,490.845059686247,31.7660737114621,41.599517452337,217.972501948773
"2002-05-01",867.208363169474,343.688264444578,88.387347753768,37.0539887107393,27.8913606450754,29.4827120449699,33.5865773909328,46.7660032518202,86.2830540417085,172.894710971135,314.866226713486,492.587959735013,32.3720130003355,42.4859820609921,223.646671697769
"2002-06-01",922.38078121815,343.066647972194,86.2377113149655,36.5776745069764,28.3286068241912,28.8527095235161,33.1858120172777,47.1665139260285,89.4547240256026,179.821805365387,328.855722883445,528.445103861201,32.3627754565153,42.6847152374049,233.084240257793
"2002-07-01",859.329454692573,318.260009651827,82.6819753335783,35.4833159745589,28.7193088530407,30.5471477234796,34.7702579200151,50.2979212757825,93.6074960574952,194.261247638646,356.118592476988,574.079080196513,32.02742255699,45.0106715436244,252.089215812199
"2002-08-01",735.582511055672,291.524556148664,80.1085290348415,37.454809787982,28.7757838888986,30.9451632184797,35.5025228818566,51.1938832855092,98.1348775673014,197.881761052993,370.980646224028,612.010121587488,33.0207535711215,46.1959528574792,259.707449022329
"2002-09-01",655.718461890033,292.780360713858,94.5571440066586,48.4270918096376,32.717787915935,31.2794399888422,35.4851504644734,49.3400581024287,95.6918251166451,188.503319340017,351.477301857464,569.480931830763,40.401796323198,45.5550659345103,246.695103212469
"2002-10-01",618.333428422578,276.705935078902,89.9577613827869,45.3363132420821,33.1338751130272,31.1580829840068,34.218568406407,49.2639779722904,91.675874185015,188.034594641496,348.319921896624,563.585683480134,39.1029222084829,44.5653185342817,245.241721183536
